"","id","Nombre_legislador","Provincia","Orientacion","Voto","Genero","Edad","Rango_Edad","Camara","Anio","seats","colour","orden","cantidad_filas","linea_media","government","x","y","row","theta"
"1",1,"Abdala De Matarazzo,  Norma Amanda","SANTIAGO DEL ESTERO","OTROS","NEGATIVO","FEMENINO",61,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-2,2.44929359829471e-16,8,3.14159265358979
"2",2,"Acerenza., Samantha","BUENOS AIRES","CAMBIEMOS","AFIRMATIVO","FEMENINO",56,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.04969725641202e-16,1.71428571428571,6,1.5707963267949
"3",3,"Aicega,  Juan","BUENOS AIRES","CAMBIEMOS","NEGATIVO","MASCULINO",34,"25-35","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.85714285714286,2.27434405555937e-16,7,3.14159265358979
"4",4,"Allende,  Walberto Enrique","SAN JUAN","PJ","NEGATIVO","MASCULINO",44,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.71428571428571,2.09939451282403e-16,6,3.14159265358979
"5",5,"Alonso,  Laura Valeria","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",44,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,9.62222485044349e-17,1.57142857142857,5,1.5707963267949
"6",6,"Alume Sbodio,  Karim Augusto","SAN LUIS","OTROS","NEGATIVO","MASCULINO",54,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.57142857142857,1.9244449700887e-16,5,3.14159265358979
"7",7,"Alvarez Rodriguez.,  Cristina","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",46,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,8.74747713676681e-17,1.42857142857143,4,1.5707963267949
"8",8,"Amadeo.,  Eduardo Pablo","BUENOS AIRES","CAMBIEMOS","NEGATIVO","MASCULINO",48,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.42857142857143,1.74949542735336e-16,4,3.14159265358979
"9",9,"Ansaloni,  Pablo Miguel","BUENOS AIRES","CAMBIEMOS","NEGATIVO","MASCULINO",41,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.28571428571429,1.57454588461803e-16,3,3.14159265358979
"10",10,"Arce,  Mario Horacio","FORMOSA","CAMBIEMOS","NEGATIVO","MASCULINO",39,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.14285714285714,1.39959634188269e-16,2,3.14159265358979
